2001-2005 WLD,,,2001-2005 CHN,,,2001-2005 USA,,,2006-2010 WLD,,,2006-2010 CHN,,,2006-2010 USA,,,2011-2015 WLD,,,2011-2015 CHN,,,2011-2015 USA,,
product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity,product1,product2,proximity
8451,8439,0.806861539,7429,7452,0.66162465,8431,8421,0.7500693,8462,8463,0.772533411,8431,8423,0.745373237,8451,8441,0.775290762,7139,7849,0.787628161,8451,8462,0.780701754,6411,3223,0.766666667
8439,8451,0.806861539,7452,7429,0.66162465,8421,8431,0.7500693,8463,8462,0.772533411,8423,8431,0.745373237,8441,8451,0.775290762,7849,7139,0.787628161,8462,8451,0.780701754,3223,541,0.766666667
8463,8439,0.80362528,7416,7449,0.66121431,8423,8459,0.747835878,8439,8434,0.771359891,8433,8452,0.744761905,8435,8441,0.775023259,8459,8441,0.786791042,8423,8462,0.776067173,8462,8463,0.76117529
8439,8463,0.80362528,7449,7416,0.66121431,8459,8423,0.747835878,8434,8439,0.771359891,8452,8433,0.744761905,8441,8435,0.775023259,8441,8459,0.786791042,8462,8423,0.776067173,8463,8462,0.76117529
8434,8421,0.801584365,7439,7416,0.658655831,8441,8435,0.747737801,7849,6994,0.77122807,8433,8431,0.743570574,8463,8451,0.763446601,7599,7525,0.783333333,8423,8439,0.774106389,8439,8459,0.76115692
8421,8434,0.801584365,7416,7439,0.658655831,8435,8441,0.747737801,6994,7849,0.77122807,8431,8433,0.743570574,8451,8463,0.763446601,7525,7599,0.783333333,8439,8423,0.774106389,8459,8439,0.76115692
8462,8451,0.800942586,7429,7422,0.657612045,8459,8452,0.747720539,8439,8463,0.767323009,7449,8745,0.743459752,8451,8462,0.756784953,8463,8439,0.782547819,8434,8424,0.767875771,8435,8439,0.757594538
8451,8462,0.800942586,7422,7429,0.657612045,8452,8459,0.747720539,8463,8439,0.767323009,8745,7449,0.743459752,8462,8451,0.756784953,8439,8463,0.782547819,8424,8434,0.767875771,8439,8435,0.757594538
8435,8433,0.797701306,7259,7251,0.655909091,8431,8434,0.746403596,8424,8434,0.767096604,8423,8462,0.742753489,8439,8441,0.751608947,8462,8435,0.781349528,8439,8462,0.758054226,8451,8423,0.755609937
8433,8435,0.797701306,7251,7259,0.655909091,8434,8431,0.746403596,8434,8424,0.767096604,8462,8423,0.742753489,8441,8439,0.751608947,8435,8462,0.781349528,8462,8439,0.758054226,8423,8451,0.755609937
8463,8424,0.794255398,7442,7416,0.654639104,8441,8451,0.744443843,8452,8432,0.765646809,8459,8424,0.7421497,8439,8463,0.748470418,8435,8433,0.780612455,7416,7492,0.755873016,8463,8435,0.751292869
8424,8463,0.794255398,7416,7442,0.654639104,8451,8441,0.744443843,8432,8452,0.765646809,8424,8459,0.7421497,8463,8439,0.748470418,8433,8435,0.780612455,7492,7416,0.755873016,8435,8463,0.751292869
8441,8451,0.793069112,7413,7449,0.653888889,8433,8435,0.736128103,8424,8439,0.763980013,7492,8743,0.741438735,8431,8434,0.748394236,8423,8463,0.780148291,8451,8452,0.75522372,8439,8463,0.747681118
8451,8441,0.793069112,7449,7413,0.653888889,8435,8433,0.736128103,8439,8424,0.763980013,8743,7492,0.741438735,8434,8431,0.748394236,8463,8423,0.780148291,8452,8451,0.75522372,8463,8439,0.747681118
8423,8424,0.792207611,7439,7449,0.653837535,8452,8434,0.73275188,8451,8439,0.763371922,7436,7492,0.740347826,8451,8452,0.746198013,8462,8424,0.779011979,8441,8435,0.753161517,8435,8434,0.74623122
8424,8423,0.792207611,7449,7439,0.653837535,8434,8452,0.73275188,8439,8451,0.763371922,7492,7436,0.740347826,8452,8451,0.746198013,8424,8462,0.779011979,8435,8441,0.753161517,8434,8435,0.74623122
8423,8462,0.790426724,7416,7283,0.653008133,6782,7491,0.731796526,8435,8439,0.762205769,8424,8435,0.736395915,8423,8459,0.745773623,8451,8463,0.774970986,8463,8452,0.750235124,8434,8452,0.745636957
8462,8423,0.790426724,7283,7416,0.653008133,7491,6782,0.731796526,8439,8435,0.762205769,8435,8424,0.736395915,8459,8423,0.745773623,8463,8451,0.774970986,8452,8463,0.750235124,8452,8434,0.745636957
8421,8422,0.789887727,575,574,0.65,8441,8439,0.728684665,7764,7768,0.761538462,8463,8439,0.734262126,8441,8459,0.745522463,8439,8424,0.773650464,8441,8439,0.749681021,8462,8423,0.744521757
8422,8421,0.789887727,574,575,0.65,8439,8441,0.728684665,7768,7764,0.761538462,8439,8463,0.734262126,8459,8441,0.745522463,8424,8439,0.773650464,8439,8441,0.749681021,8423,8462,0.744521757
8452,8441,0.788014842,7763,7764,0.649090909,8452,8462,0.727805963,8459,8435,0.760958753,8749,8743,0.733826087,8462,8463,0.744185726,8431,8434,0.773526762,8424,8433,0.746388494,8459,8423,0.743343109
8441,8452,0.788014842,7764,7763,0.649090909,8462,8452,0.727805963,8435,8459,0.760958753,8743,8749,0.733826087,8463,8462,0.744185726,8434,8431,0.773526762,8433,8424,0.746388494,8423,8459,0.743343109
8435,8439,0.784434003,7452,8744,0.648690476,8434,8441,0.727586672,8441,8462,0.759954073,8459,8431,0.733181646,8434,8452,0.743896389,8423,8424,0.772987422,8459,8439,0.74582996,8439,8451,0.737307803
8439,8435,0.784434003,8744,7452,0.648690476,8441,8434,0.727586672,8462,8441,0.759954073,8431,8459,0.733181646,8452,8434,0.743896389,8424,8423,0.772987422,8439,8459,0.74582996,8451,8439,0.737307803
8439,8429,0.782929943,7267,7269,0.647607295,8441,8462,0.725996039,8424,8423,0.757883153,8452,8439,0.732055853,8435,8439,0.739588745,8424,8441,0.771862348,8431,8451,0.74531568,8434,8439,0.730098026
8429,8439,0.782929943,7269,7267,0.647607295,8462,8441,0.725996039,8423,8424,0.757883153,8439,8452,0.732055853,8439,8435,0.739588745,8441,8424,0.771862348,8451,8431,0.74531568,8439,8434,0.730098026
8423,8463,0.779261576,7416,8743,0.647214584,8441,8429,0.725821578,8439,8452,0.757453596,7422,7449,0.727661943,8424,8431,0.737828038,8422,8424,0.771470985,8451,8423,0.744274634,8435,8423,0.72822479
8463,8423,0.779261576,8743,7416,0.647214584,8429,8441,0.725821578,8452,8439,0.757453596,7449,7422,0.727661943,8431,8424,0.737828038,8424,8422,0.771470985,8423,8451,0.744274634,8423,8435,0.72822479
8429,8441,0.778742052,7449,6635,0.64702381,8439,8451,0.724198547,8463,8423,0.7570067,8462,8463,0.726973684,8434,8433,0.73479657,8441,8435,0.769538486,8463,8431,0.743669468,8435,8441,0.724071903
8441,8429,0.778742052,6635,7449,0.64702381,8451,8439,0.724198547,8423,8463,0.7570067,8463,8462,0.726973684,8433,8434,0.73479657,8435,8441,0.769538486,8431,8463,0.743669468,8441,8435,0.724071903
8433,8432,0.775640034,7436,7439,0.646849957,8451,8423,0.719119341,8441,8452,0.755879408,8431,8452,0.726535088,8439,8462,0.733426501,6954,7368,0.768218954,8434,8459,0.741619433,8433,8434,0.721805614
8432,8433,0.775640034,7439,7436,0.646849957,8423,8451,0.719119341,8452,8441,0.755879408,8452,8431,0.726535088,8462,8439,0.733426501,7368,6954,0.768218954,8459,8434,0.741619433,8434,8433,0.721805614
8452,8429,0.7741185,723,722,0.646190476,111,116,0.719047619,7788,7723,0.755463659,7712,7711,0.724968072,7832,11,0.733333333,2875,2874,0.766487179,8451,8459,0.741214575,8431,8434,0.721504117
8429,8452,0.7741185,722,723,0.646190476,116,111,0.719047619,7723,7788,0.755463659,7711,7712,0.724968072,11,7832,0.733333333,2874,2875,0.766487179,8459,8451,0.741214575,8434,8431,0.721504117
8435,8459,0.773769504,7436,7492,0.645907928,7245,7246,0.716666667,8431,8433,0.749341878,572,571,0.723333333,8435,8451,0.730328794,8451,8423,0.765064817,8459,8452,0.740958165,8441,8439,0.72128219
8459,8435,0.773769504,7492,7436,0.645907928,7246,7245,0.716666667,8433,8431,0.749341878,571,572,0.723333333,8451,8435,0.730328794,8423,8451,0.765064817,8452,8459,0.740958165,8439,8441,0.72128219
8442,8441,0.773422292,7422,8743,0.6451635,8423,8441,0.715328706,8431,8435,0.748276591,8423,8459,0.722861481,8463,8441,0.728995939,8429,8441,0.764077814,7436,7439,0.740478469,8451,8441,0.72035754
8441,8442,0.773422292,8743,7422,0.6451635,8441,8423,0.715328706,8435,8431,0.748276591,8459,8423,0.722861481,8441,8463,0.728995939,8441,8429,0.764077814,7439,7436,0.740478469,8441,8451,0.72035754
8459,8441,0.772680851,7283,7452,0.644404762,7413,7272,0.714035088,7849,7810,0.746992481,7412,7449,0.721346154,8439,8434,0.728571429,8452,8433,0.762443439,7439,7492,0.740478469,8435,8459,0.717181147
8441,8459,0.772680851,7452,7283,0.644404762,7272,7413,0.714035088,7810,7849,0.746992481,7449,7412,0.721346154,8434,8439,0.728571429,8433,8452,0.762443439,7492,7439,0.740478469,8459,8435,0.717181147
8462,8424,0.771090031,6541,6551,0.644285714,8463,8441,0.712803933,8459,8423,0.745722905,7259,7251,0.720923521,116,111,0.728571429,8459,8452,0.76073841,7452,7449,0.735848813,8423,8463,0.71222228
8424,8462,0.771090031,6551,6541,0.644285714,8441,8463,0.712803933,8423,8459,0.745722905,7251,7259,0.720923521,111,116,0.728571429,8452,8459,0.76073841,7449,7452,0.735848813,8463,8423,0.71222228
8463,8452,0.767023405,7493,7421,0.643623044,8434,8429,0.708041952,8434,8421,0.744653021,8423,8424,0.720588235,8423,8441,0.722278416,8434,8441,0.76007524,8459,8423,0.735425101,8451,8435,0.709992997
8452,8463,0.767023405,7421,7493,0.643623044,8429,8434,0.708041952,8421,8434,0.744653021,8424,8423,0.720588235,8441,8423,0.722278416,8441,8434,0.76007524,8423,8459,0.735425101,8435,8451,0.709992997
8424,8434,0.766915987,7449,7422,0.642843137,7269,7267,0.707777778,6210,6289,0.742079772,8743,7442,0.718891775,8435,8423,0.715214785,8451,8424,0.757259486,8451,8439,0.735038118,8421,8431,0.707058824
8434,8424,0.766915987,7422,7449,0.642843137,7267,7269,0.707777778,6289,6210,0.742079772,7442,8743,0.718891775,8423,8435,0.715214785,8424,8451,0.757259486,8439,8451,0.735038118,8431,8421,0.707058824
8451,8434,0.766853002,7742,5335,0.642161172,8433,8431,0.704705475,8435,8451,0.740530814,8452,8435,0.718684685,8434,8451,0.712828626,8423,8435,0.754478747,4244,4312,0.733333333,8459,8452,0.705189268
8434,8451,0.766853002,5335,7742,0.642161172,8431,8433,0.704705475,8451,8435,0.740530814,8435,8452,0.718684685,8451,8434,0.712828626,8435,8423,0.754478747,4242,4312,0.733333333,8452,8459,0.705189268
8424,8459,0.764826119,2731,6613,0.641139453,8452,8439,0.703473151,8441,8435,0.736418353,8452,8424,0.71690264,8452,8459,0.709602019,8452,8435,0.75386202,4312,4242,0.733333333,8462,8452,0.702038177
8459,8424,0.764826119,6613,2731,0.641139453,8439,8452,0.703473151,8435,8441,0.736418353,8424,8452,0.71690264,8459,8452,0.709602019,8435,8452,0.75386202,4312,4244,0.733333333,8452,8462,0.702038177
8435,8441,0.763897269,7413,7272,0.64047619,8429,8439,0.70320724,8424,8463,0.735922227,11,4113,0.716666667,8431,8421,0.708845694,7849,7783,0.752578581,7492,7188,0.730735931,8452,8451,0.701317668
8441,8435,0.763897269,7272,7413,0.64047619,8439,8429,0.70320724,8463,8424,0.735922227,4113,11,0.716666667,8421,8431,0.708845694,7783,7849,0.752578581,7188,7492,0.730735931,8451,8452,0.701317668
8451,8463,0.763088214,7442,7449,0.638195087,8423,8463,0.702118955,8441,8429,0.735797843,8452,8459,0.712347176,8441,8452,0.70864899,8424,8431,0.752035008,8435,8451,0.726450679,8452,8439,0.700197588
8463,8451,0.763088214,7449,7442,0.638195087,8463,8423,0.702118955,8429,8441,0.735797843,8459,8452,0.712347176,8452,8441,0.70864899,8431,8424,0.752035008,8451,8435,0.726450679,8439,8452,0.700197588
8435,8429,0.762458553,7412,6635,0.637728938,8429,8423,0.701604268,8462,8435,0.735488077,7283,7449,0.711871345,8441,8434,0.70682815,8423,8434,0.751870909,8451,8434,0.725141949,13,3510,0.7
8429,8435,0.762458553,6635,7412,0.637728938,8423,8429,0.701604268,8435,8462,0.735488077,7449,7283,0.711871345,8434,8441,0.70682815,8434,8423,0.751870909,8434,8451,0.725141949,13,3414,0.7
8423,8441,0.760945078,7429,6635,0.637535014,8422,8424,0.701338854,8424,8431,0.733701159,8423,8463,0.711478023,8423,8462,0.705002596,8431,8433,0.750866455,8463,8439,0.723975625,6411,3510,0.7
8441,8423,0.760945078,6635,7429,0.637535014,8424,8422,0.701338854,8431,8424,0.733701159,8463,8423,0.711478023,8462,8423,0.705002596,8433,8431,0.750866455,8439,8463,0.723975625,6411,3414,0.7
8431,8433,0.759485627,8743,7492,0.637410449,8441,8459,0.701317903,8432,8433,0.732460882,8463,8424,0.708155683,3223,913,0.7,8463,8435,0.750261122,8452,8441,0.723439566,3510,3414,0.7
8433,8431,0.759485627,7492,8743,0.637410449,8459,8441,0.701317903,8433,8432,0.732460882,8424,8463,0.708155683,3510,13,0.7,8435,8463,0.750261122,8441,8452,0.723439566,3510,13,0.7
8434,8432,0.759418562,8743,8720,0.636480534,3223,3510,0.7,6289,7849,0.731012263,6623,7919,0.708131868,2512,541,0.7,8441,8463,0.749680851,7436,7492,0.723370851,3414,6411,0.7
8432,8434,0.759418562,8720,8743,0.636480534,541,3414,0.7,7849,6289,0.731012263,7919,6623,0.708131868,13,2512,0.7,8463,8441,0.749680851,7492,7436,0.723370851,3510,6411,0.7
8433,8439,0.758297639,5139,7742,0.635632407,3510,411,0.7,8443,8442,0.730926478,8433,8439,0.706833036,541,3414,0.7,7764,7768,0.749067599,8463,8435,0.722913165,7915,7832,0.7
8439,8433,0.758297639,7742,5139,0.635632407,3414,3223,0.7,8442,8443,0.730926478,8439,8433,0.706833036,3510,411,0.7,7768,7764,0.749067599,8435,8463,0.722913165,3414,13,0.7
